,id,POI/street
142,142,klinik adel/
143,143,sisun kel./22736 angkola plaza (padang sidempuan)
144,144,tangga baruna. tangga baruna. v/aulia 64 tanjungsari binexa mulia sukomanunggal
145,145,agenpos paytern/
146,146,griya kuningan siliwangi/
147,147,aulia 71 kb rukun/
148,148,panorama residence no c.07 desa batunung/batununggal kec cibadak kab sukabumi
149,149,dawuan kel./kel. raya ten tani no 18 45642 tengah tani
150,150,bunder kamp kadu/kadu suka mulya 15810 cikupa
151,151,komplek perdagangan perum./pangeran kel.
152,152,notaris hanny sitinjau/
153,153,kedunghalang aka 8 rt 2 8 bogor utara -/- kota
154,154,karyabaru sticker aek godan 150/aek baturiti
155,155,suka iii/iii paninggilan ciledug
156,156,"tanjungdalam burung orch view/10, 90224 tamalate"
157,157,jatiluhur palotot/aulia 41 jakasampurna bekasi plaza
158,158,muteran djuli/mulia cisarua cikole
159,159,by pass ngu rai 46 benoa kuta/kuta selatan
160,160,"es campur jus, pokat/"
161,161,marga 13 buah/buahbatu (margacinta)
162,162,bida ayu pintu 3 84/84 mangsang sei sungai beduk
163,163,jelambar selatan agency/
164,164,pisa baru ten 2 pisangan baru rt 5 5 matra/matraman
165,165,suryalaya kencana cv letda sujito/bandardjaya selamat
166,166,"wisata rahmat semesta sebelah/jendral s, parfum v"
167,167,sumberagung jayalas perumahan kuning baruna. unter medan/52 garden 61
168,168,"bankalan rakyat indonesia,/palotot pengasinan"
169,169,balilaris piesta susu-ho & lapis legit by passion ngunut raisha/
170,170,pahl trip/trip oro-oro dowo
171,171,"manta tourism ir. h. juanda iii,/"
172,172,palotot bekasi/45 residence cakung
173,173,toko-ho joven/puskemas pagimana
174,174,keta kali 71 keta/ketabang 5 genteng
175,175,5000 plus toko-ho/ponsel kelapa mulia
176,176,toko-ho susu-ho batang stasiun hamb/tugusari cimanggis
177,177,griya zakia madani/cluster cendrawasih palotot
178,178,negoro me/vii no 11 kalinegoro mertoyudan
179,179,"cluster kunto cluster krapyak permata muteran julukanaya/aulia terminal merbung ruko, perumahan krapyak"
180,180,"bca, samarinda/kcu bca, food, lantai permai"
181,181,cipamokolan pu asih v no 13 ranca/rancasari
182,182,"pencucian salju pw jendral a, yani,/"
183,183,ploso net/
184,184,sei sikambing d amal 46 20112/20112 medan petisah
185,185,ism kebayoran lama/lama selatan kebayoran lama
186,186,poris resid poris plawad utara/utara kel.
187,187,"dpd di, yogyakarta/"
188,188,griya kebr sela viii 8 kebraon 12/12 karangpilang
189,189,karangjati sarimin kpri makmuriyah jendral gatot subroto/aulia cafe
190,190,/
191,191,"ruko, shoph/aulia t5 8 jupi laundry golf"
192,192,"karung anyar, e/aulia 41 binexa cijerah karangjati anyar,"
193,193,nuri i 12 ciboda/i 12 cibodasari rt 2 13 cibodas
194,194,94 406/sami 494 40618
195,195,waturen kawan/kawan bangli
196,196,jaksa tangsi suprapto/11 gabungan alataze kesehatan danone laboratorium
197,197,terminal abata/105371 purwokerto kulon
198,198,kerja griya mulia/
199,199,perintis kemala/aulia 24d cihideung
200,200,de latinos/cluster hacienda mexicano
201,201,kebon pedes/pedes pon rum 1 rt 1 5 16162 tanah sereal
202,202,cilodong gg. hj/hj senin 25 cilodong
203,203,cipulir kebonsari mangun ll/14 binexa mulia kebayoran garden
204,204,kunto wijono dr/dr man besar 7 tangki
205,205,"bachsyaini husein & co drs/toledo cawang village,"
206,206,ngareanak pat -/- boja 28 51382 singorojo
207,207,cipa 383 kujangsari/kujangsari bandung kidul
208,208,r suka 23 rang/rangkapan jaya baru rt 2 3 pancoran mas
209,209,karanganyar jl/jl raya cina rt 13 4 subang
210,210,binaan cellular/mariyem palotot aulia kompleks
211,211,"ayam, gepuk pakcik blangkon dr. sutera/semarang sel."
212,212,udik iii 16 nyamplungan/16 nyamplungan rt 3 7
213,213,/
214,214,gayam dokter muwa/2a 57514 hidayah
215,215,toko-ho gemilang/
216,216,girimoyo watu damar 17-27 65152/65152 karangploso
217,217,depok garden alamindo kolam b-3/cluster pemuda
218,218,pondok cabe udik pon cabe/cabe raya 81 pamulang
219,219,ma'sum al-muttaqin dukuharum rejosari/
220,220,limau mungkur/mungkur jenderal gatot subr 69 binjai barat
221,221,mutiara telkomsel/tanjungpura-simpang pangkalan susu-ho
222,222,pt gajah mada stone pergudangan sinar buduran iii block a16 jl/jl raya lingkar timur
223,223,gg. st. ibu ii kedamaian tanjung/tanjung karang timur
224,224,jln karya baru no 41 b rt 12 rw 03 kel srengseng (nama/12 rw 03 kel srengseng (nama gangnya komplek arab)
225,225,bajulmati rt 02 02 desa:bajulmati ptkn;rth bajulmati kec wongsorejo kab/kab banyuwangi
226,226,pettuadae andiani pangentan pettarani/45 turikale
227,227,sukarame karyabaru/sukarame majucell kel.
228,228,siusiu derril sumber/bofet reflina
229,229,lagadar kel./
230,230,raya ker sural/suralaga
231,231,abel motorindo/aarcpulau morowali aulia 88 sukarame
232,232,meruya selatan gg. h. bahr 3-13 rt 4 2/2 kembangan
233,233,aup barat iii 21-22 rt 1 6/6 jati padang pasar minggu
234,234,"sinduadi paguyuban pecinta batik indonesia, sekarasri jagad/amenah ix"
235,235,simpang peut- selatan/masuk yasmin spb
236,236,kramat jaya gg.6/gg.6 blok f.no.28 rt.013.rw.007
237,237,tenun sukarame/
238,238,embong kaliasin jl./jl. kedon lor i jl. kedon 16-a 8 60271 genteng
239,239,"mekarjaya wangi/ampera cimahi tengah,"
240,240,margorejo kel. wonocolo/
241,241,raya pamu per/per pamulang barat pamulang
242,242,( konter data cell ) komplek puri citra/citra blok a no.2 pipitan
243,243,gajah mada 88 rt 1 8 ta/taman sari
244,244,mranggen hj. umiato salamah/
245,245,kiospon yoga/lines. warung
246,246,komplek beauty cukai sukapura.jl.siak h7 no.2(dekat rs firdaus/pagaralam warnasari hitam)
247,247,stasiun huripz/
248,248,restoran elby/
249,249,gabus 87 p/pandau hulu ii medan area
250,250,"optical dewaruci depok, payman negeri/pekanbaru sabtu selebar"
251,251,seruni hills jl swadaya 3 rt 003 rw 006 no b2/b2 jatiranggon
252,252,tebet timur tebet timur/timur dalam ix c 12 rt 12 rw 9 12820 tebet
253,253,amaq said/lines. sumberjo brang kolong
254,254,pamulang barat cem ii/ii no 87 pamulang
255,255,pondokgede singapore jendral r.s. soekarno/6-26 garden permai residence duren sawitindo
256,256,jatirahayu got roy 26 18 17414/17414 pondok melati
257,257,amp i pade/pademangan barat pademangan
258,258,liga raya nusa jaya/jaya karawaci
259,259,sekolah menengah pertama negeri 19 samarinda/poros sambal
260,260,masuk cunda plaza belakang salam kupie andi stiker setelah jembatan cunda kluar dr/dr kota
261,261,"k5 shop, palotot cilacap k., k., o./puskemas minggu"
262,262,slogi kuliner/terusan komplek
263,263,jl. gn. krak iv b 18 harapan jaya rt 7 rw 12/12 bekasi utara
264,264,"malaysian anyar, amirudin mahrah ix/30 gununganyar"
265,265,gustin warung/palotot kerob
266,266,bante baru no 42/42 kampung melayu banyuwangi
267,267,nasional 23/45 gempol
268,268,musi 3 58 siring/musi 3 58 siring
269,269,sumur welut pesa 70 60215 la/lakar santri
270,270,pulorejo gebang cakung/
271,271,tamansari bermain lebak cholay maremi emas warung julukanaya/keputih sukolilo
272,272,ss tourism danone travel/randugunting tegalsari sel.
273,273,cija hilir no 59a 40286 buah/buahbatu (margacinta)
274,274,ketintang baru xvii no 8 ketintang 3 gayu/gayungan
275,275,golf lake residences/residences ruko venice block b - 57
276,276,matrixal hills 94 polsub sekodi pegangsaan/binexa permai pegangsaan flamboyan
277,277,arif rah hakim/hakim balai-balai
278,278,trio indah ibu hj tatik karema sumoharjo/
279,279,puri tirta kenc no 1 cicaheum/cicaheum kel. kiaracondong
280,280,padema ti/timur 7
281,281,jin mas motor. pt/pt raya and ubud
282,282,2 2/jepara dupak masi iii 22
283,283,aris muna kidul/kiduldalem klojen
284,284,"koperasi karyawan multimedia mandiri,/brigade h. hasnur basry"
285,285,cikawao pa/cikawao panga
286,286,jl.brigjend katamso spbu/spbu singapore station di rm.sondoro
287,287,griya citra/citra pers 8 dawuan timur rt 10 5
288,288,bank syariah a/amanah ummah ruko sentra air mancur jl. re. martadinata no 2a kel sempur
289,289,kp.pasir muncang rt02 02 desa suka/sukamanah kec.megamendung
290,290,haji asm/asm beji beji
291,291,kp puncak mulya rt 04 rw 11 desa sukaluyu kecamatan pan/pangalengan
292,292,gg. pd. asri t/tibubeneng kuta utara
293,293,raden kusno/kusno terusan mempawah hilir
294,294,alun- no 56 situ/situ sumedang utara
295,295,mojoroto mojor muteran 8/residence mojoroto
296,296,purwac musik studio/
297,297,gg. 4 42 kau/kauman prajurit kulon
298,298,"novaldi jayalas abadi,/industry k2 pasirgombong cikarang podomoro"
299,299,rice bowloxa/letj supriadi kemayoran
300,300,pasar baru let. tuki 132/132 kota manna
301,301,pulo mas barat v 9 rt 10 12/12 kayu putih pulo gadung
302,302,apotek sehat mandiri residence/
303,303,bunga ram i 12/12 karangmanyar kalimanah
304,304,ten xvii 10 kalibata/10 kalibata rt 11 3 pancoran
305,305,per cilame ng/ngamprah
306,306,jelambar baruna. sukarame permai/19 binexa residence 11460 grogol petamburan
307,307,"toko-ho tianik air, hitam/kebonsari sembilan"
308,308,keri 16 rt 3 6/6 batuceper
309,309,psyco funky buah/buah batu
310,310,graha sampurna indah/indah blok f 46
311,311,kedon pejuang/pejuang medan satria
312,312,daksa barat no 24 sepinggan/sepinggan kel. balikpapan selatan
313,313,seller afrakids/palotot karung selatan karangjati kel.
314,314,"dasar putri, bangkala napy/sukosari pagelaran"
315,315,sayang villas ll/
316,316,toko-ho pengumben/joglo palotot
317,317,menanggal menan ll/muteran angklo aulia 14 cholay garden mulia residence gayungan
318,318,ken 3 pe/pekayon jaya kel.
319,319,"stasiun center joni/aulia 151 medan area,"
320,320,rm.sri padang/palotot cibedug
321,321,jayamukti cikarang pusat/
322,322,aulia 62i garden residence purus padangbujur plaza/
323,323,cluster dr. wahidah sudirman julukanaya/aulia 154 toko-ho kelontong
324,324,rum di/diponegoro iii
325,325,makam 7 k/kandangan benowo
326,326,jembatan palotot casablanca/tower casablanca mansion kav.aa residence
327,327,grogol selatan/selatan persa 3 27 rt 2 7 kebayoran lama
328,328,lalang kel. gangsar bersalin/aulia city medan sunggal
329,329,blok merdeka/aulia 64a aa pizzacart & burger
330,330,duren s/sawit raden inten ii 3 rt 8 rw 10 13440 duren sawit
331,331,graha situsari permai/permai blok a7 no13
332,332,setu k/kamp kera 23 rt 7 4 13880 cipayung
333,333,seram baru 52 p/pandau hilir medan perjuangan
334,334,sutera siswanto/ampera hutasoit tonga tonga sibolga podomoro
335,335,satpas kulon residence/margahayu podomoro babakanranji ciparay
336,336,kafe om kumis/kelurahan baturiti kuning
337,337,boto lempa 6/6 baru
338,338,sumberpasir toko-ho la bebee/
339,339,nagri kaler pasar juma jl jend sudi 18 41111 purwa/purwakarta
340,340,toko-ho jp/
341,341,agung utara 15 45 sunter agung rt 13 7/7 tanjung priok
342,342,lebak bulus jago/jago raya 1 rt 7 7 12440 cilandak
343,343,nasi iii 717 c/cibuntu
344,344,dr. wahi s 19 sungai jawi pontianak/pontianak kota
345,345,tugu alhid 82 16451 ci/cimanggis
346,346,saripan kh. yasin 62 je/jepara
347,347,kop sang cab. maum/maum gajah mada no 39 madawat
348,348,tpa tpa) ibtidaiyah/
349,349,kedam no 23/23 karet semanggi rt 5 2 setia budi
350,350,"kiv babyshop 'n kidswear shop,/"
351,351,kamp bal sela pabuaran/pabuaran kel.
352,352,kepanjen kompleks masjid/aulia 13d kompleks kepanjen garden 8 permai kebonsari jeruksari
353,353,agenpos bistro bogowonto tamirit/masuk setiajaya hendrik
354,354,gg. gajah mada 9 benua melayu darat/darat pontianak selatan
355,355,poris plawad pang polim 44 rt 5 3 ci/cipondoh
356,356,"palotot rancas/aulia 10, mandalasari kadungora"
357,357,polsek sedati/palotot pulungan
358,358,gg. nan no 25 70239/70239 banjarmasin timur
359,359,marein keuangan negara manado/lantai kompleks
360,360,bandar senembah/senembah sawo 5 binjai barat
361,361,fachr raya 6 kampung bali pasar regional tanah a/abang b 6 tanah abang
362,362,grha bpn kabupaten gianyar/komplek civic center
363,363,sampiran jl. hijau/hijau raya no 17
364,364,rumah makan duo servis/
365,365,kopwan nita bor/
366,366,gajahmati madania/asean elektronik-ho
367,367,nerogtog kh has ash 1 rt 4 8 ci/cipondoh
368,368,kp.tla gun/gun putri cikeas udik gunung putri
369,369,aestia nasution/ampera ace hardware
370,370,aulia permai global informasi & komunikasi nasional/pejarakan karyabaru
371,371,desa marbau selatan besar/besar panca bakti 21452 marbau
372,372,langsari no/no 15
373,373,toko benang sb/sb purwoasri
374,374,bendungan hilir bendu hil 41 rt 3 3 tanah a/abang
375,375,"mahavira iii,/pondokgede kacang warung"
376,376,tera ii jelupang ser/serpong utara
377,377,sarj ba/bawen bawen
378,378,mawar ii ngringo/ngringo jaten
379,379,sumi sra/sraten gatak
380,380,suk ii no 18a sukajaya su/sukarami
381,381,nakula 4a/aulia 129 jakarta setiajaya bekasi sel.
382,382,/
383,383,aulia 96 8/
384,384,hari-hari vegetarian food stas/stas kota e 20 rw 4 pabean cantikan
385,385,"pt.era wiradana sadede lestari,/"
386,386,raya pai/pai sumberanyar ds. pesisir rt 12 rw 3 paiton
387,387,cluster potong jambu/
388,388,gudang surya kenc 46 bogor tengah -/- kota
389,389,toko-ho meutia asya'a/pandaan rini julukanaya
390,390,jl. sam ratul jl. sagan 2e ter/terban gondokusuman
391,391,sumber karema/untung barokah
392,392,bintang martabak/pondokgede cinambo
393,393,a cipinang muara/muara jatinegara
394,394,"buana asri, palotot warung/kujangsari kel."
395,395,/
396,396,klender bua i 7-3 rt 9 rw 12 duren s/sawit
397,397,karung unter/karawang plaza
398,398,kincai perabot/
399,399,"jenderal huge's imam santoso,/"
400,400,glugur darat i gun seul no 87/87 medan timur
401,401,0 medokan ayu/iii 40 medokan ayu rw 9 rungkut
402,402,pulau bida no 27 negla/neglasari neglasari
403,403,no 96/stel velk heri wara 8 no 96 rw 10 14340
404,404,muteran kalbar/aulia hotel medan tenggara medan denai
405,405,dr. cipto/rampal celaket kel.
406,406,bambu apus gg. rukun 82 15415/15415 pamulang
407,407,grha polsek/gajahmati madania batanghari
408,408,pemagarsari brand iv no 18 16330/16330 parung
409,409,"masjid anyar, kel./"
410,410,smp neg 1/1 muarak muara kuang
411,411,kra utara no 38 rw 7 kramat/kramat jati
412,412,jatibening baru melati iii 90 2 17412/17412 pondok gede
413,413,63 lily/
414,414,"gulung tunggal p.o.p/s.h., kesehatan"
415,415,paninggilan podomoro perumahan griya ciledug/cendana palotot 8 garden residence residence 15153 ciledug
416,416,keta 26/26 jati padang rt 10 rw 1 pasar minggu
417,417,beei tra ceger/ceger raya no 88 pondok aren pondok aren
418,418,perumahan cikarang perum./8 situterate garden cijerah permai cikande
419,419,sunter jaya sun/sun mas ten e 15 rt 5 8 14360 tanjung priok
420,420,palotot mauk/smps plus as-sanusy adah residence
421,421,kp.curug warna sari 002 004 desa.tam/desa.tambang ayam kec.anyer
422,422,sat i 19a 13 jaga/i 19a 13 jagakarsa
423,423,alec boule timur/timur no 77
424,424,"kadipaten dewi, sartika/residence 62111 bojonegoro"
425,425,pasar kar/kar perintis bumi wono
426,426,indolink cellular/dahrum tanjung
427,427,warungmakan nasional medika/aulia hotel 16465
428,428,puskesmas warungmakan jengkol rt.001 013824/pegangsaan dasar
429,429,dusit mangga dua hotel pt man dua/dua raya mangga dua selatan
430,430,palotot mayor technoocom jayalas atmega/82 rt04rw05 cirimekar cibinong
431,431,ruko graha indah jl. gay/gay kebon no b-02 rt 1 2 ketintang
432,432,"yayasan stiker rahayu palembang/air, baturiti"
433,433,gajahmati madania/
434,434,"bakso malang, danone es kelapa/bengle majalaya"
435,435,utama pasir/pasirlayung cibeunying kidul
436,436,jl jati rawasari rumah susun jatirawasari/jatirawasari blok b lantai 2 no 20
437,437,ngadiwono. pasuruan/citraloka timur capital plataran bromosari
438,438,wis lidah kul iv 19 b lidah kulon rw 1 la/lakar santri
439,439,cipinang besar selatan cipi jaya iv 6 rt 4 7/7 jatinegara
440,440,rawa bunga swad iv 28 rt 9 6 13350/13350 jatinegara
441,441,lorena tangga rajawali/aulia 2029 30113 sasak uluale julukanaya
442,442,jl. ten/ten kar gg. ii wonokusumo semampir
443,443,game 5/5 panembahan
444,444,toko-ho antasari sarimin stasiun ac/aulia mulia garden residence binexa permai balerejo kambang
445,445,malioboro gallery andrea bistro/aulia 63 25113
446,446,outer ring road ceng/cengkareng
447,447,mamplam prapatan residence/mampang prapatan kel.
448,448,raya boj ren/ren rawa burung kosambi
449,449,kiospon manik pantai lebih/
450,450,aminah toko-ho/bekasi plaza
451,451,"palotot narogong/tae jong.ko indonesia,"
452,452,dukuh ku/kupang nges dukuh kupang ii 35 rw 6 60225 dukuh pakis
453,453,jaksa a/agung r. soepr 113 26 ilir d. i ilir barat i
454,454,purbosuman kel. purbosuman 63418/sekarasri puding gangsar ll aulia 12 rt04rw05
455,455,"notaris sumardi/cilacap-90101 tengah,"
456,456,b 14 164/1b 14 16454
457,457,toba baturaden terminal/11 garden residence terminal bencongan unter kelapa dasar
458,458,nasi iii no 15 tulung/tulungagung
459,459,jl. baba prat xxii y 8 8 ba/babatan wiyung
460,460,cendono ga honyen kusuma/
461,461,mil 67 balikpa/balikpapan tengah
462,462,serp 2/serp 2 1-5
463,463,genuk kudu/kudu raya sembungharjo rt 5 6 genuk
464,464,aries dental/tegalsari agung
465,465,pen timur i 4 rt 12 rw 5 rawa/12 rw 5 rawajati pancoran
466,466,warungmakan tehnik nyai/perintis kemala
467,467,serdangindah serdadu baruna. vlll/aulia 23-39 garden residence cijerah kemayoran
468,468,toko-ho kumala kumala/bido residence
469,469,bengkel sukma motor (de/(depan terminal cijulang)
470,470,buana impian 2/buana impian 2 blok dream
471,471,pr margotunggal/warung langgeng. semur kuthuk
472,472,. sai 32/sai 32 rt 12 2 13850 cipayung
473,473,kirov gamelan center/kuningan palotot
474,474,aulia cholay kompleks warung hijas 86/benua melayu darat
475,475,madr no 33 rw 2/2 pondok ranggon kel.
476,476,"bankalan negeri indonesia/h, o s, tjokroa"
477,477,raya batujajar selacau/selacau kel.
478,478,tmp trikarya/aulia 67 mandala merauke
479,479,gg. 1 no 45/45 kebon sirih rt 6 2 menteng
480,480,buahbatu segar muaraenim buahbatu bendungan wates/
481,481,hard su/suparmi ahmad yani no 13 57558
482,482,masjid bai hikmah aceh/aceh bar meulaboh cot darat
483,483,tugusari podomoro iolin shoes/bhayangkara tugusari aulia 85 binexa residence koja
484,484,gg. wari 21 pulo b/brayan darat ii medan timur
485,485,toko bint/bint mas
486,486,ganting parak gadang air ca/camar 10c 25142
487,487,perum langensari/langensari indah
488,488,toba laut tawar/blok a
489,489,kryad muraya banda aceh/t panggang polem
490,490,cluster bumiaji masjid palotot/komplek bumiaji persada garden rw. jembatan 001. no.21. pemurus baruna.
491,491,welo'v gift/botania garuda
492,492,stasiun makri aulia 20 toko-ho kacamata amanah/pekayon jayalas bekasi sel.
493,493,pin 6 kedunghalang bogor utara -/kedunghalang bogor utara - kota
494,494,cuci motor &/& karpet iswahyudi tulungagung
495,495,rumah jahit benn merak 6 gilingan/gilingan banjarsari
496,496,"soekarno hatta/resto, cabe merah"
497,497,cluster grandwood residence kp berkat jl./jl. raya kalisuren rt.01 rw.01 kalisuren
498,498,inspektorat jenderal kementerian agama ri rs fatmasari/
499,499,jm sekarasri tamabal/soekarno hatta
500,500,pabu 14 lengkong kulon/kulon pagedangan
501,501,sukarindik j pamij no 33 46151/46151 bungursari
502,502,"adi, sucitra/11 organic food melilea"
503,503,sofia salon muslimat kalijogo lapan/
504,504,setia budi tanjung sari medan se/selayang
505,505,sumolawang palotot balige/garden permai binexa residence purindo
506,506,tanj sa'ar 95/95 jatiluhur jatiasih
507,507,palebon permai/aulia 17 binexa mulia
508,508,perumahan bayur sarana indah 2 rt 05 rw 04/04 blok m-7
509,509,aulia 89 adisan photocopy copy/floor house
